# ell   Cl_EE[μK^2]   Cl_BB[μK^2]
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 6.668359031414271797e-03 4.244908602423107312e-05
3.000000000000000000e+00 3.886028512117438438e-03 2.000763672168118156e-05
4.000000000000000000e+00 1.992086030319478816e-03 9.739163818769460510e-06
5.000000000000000000e+00 9.045189743056826709e-04 4.732850785582331466e-06
6.000000000000000000e+00 3.797819717378996072e-04 2.292692652359286081e-06
7.000000000000000000e+00 1.660781787241876351e-04 1.137852925216505814e-06
8.000000000000000000e+00 9.085031229598464458e-05 6.179907797941787899e-07
9.000000000000000000e+00 6.481850498964953169e-05 4.002436904347294769e-07
1.000000000000000000e+01 5.303142618460652077e-05 3.181423181222289253e-07
1.100000000000000000e+01 4.590798736728969408e-05 2.917591444889151779e-07
1.200000000000000000e+01 4.165643457923528457e-05 2.854031538277454285e-07
1.300000000000000000e+01 3.946179475064740032e-05 2.845521634156965611e-07
1.400000000000000000e+01 3.836009835778849238e-05 2.842750129976175249e-07
1.500000000000000000e+01 3.770360018848934998e-05 2.832817510772999407e-07
1.600000000000000000e+01 3.729803363918739748e-05 2.816219561327012684e-07
1.700000000000000000e+01 3.718293422103442569e-05 2.794678577226904782e-07
1.800000000000000000e+01 3.736858406481224676e-05 2.770024651621104069e-07
1.900000000000000000e+01 3.776862841788121710e-05 2.743350615426443362e-07
2.000000000000000000e+01 3.828729984368762698e-05 2.715434684035221967e-07
2.100000000000000000e+01 3.887574667943041295e-05 2.686688823479721501e-07
2.200000000000000000e+01 3.950181359101037192e-05 2.657413486864869731e-07
2.300000000000000000e+01 4.015321478538324526e-05 2.627829324946190888e-07
2.400000000000000000e+01 4.082213692951257907e-05 2.598107491027686668e-07
2.500000000000000000e+01 4.149878698933823462e-05 2.568300950956665263e-07
2.600000000000000000e+01 4.217597296521980756e-05 2.538432081493605411e-07
2.700000000000000000e+01 4.285888669621975991e-05 2.508519090508357835e-07
2.800000000000000000e+01 4.355581598107621777e-05 2.478579143648118501e-07
2.900000000000000000e+01 4.427296253503875984e-05 2.448626046557559735e-07
3.000000000000000000e+01 4.500818373940263970e-05 2.418660164871263535e-07
3.100000000000000000e+01 4.575725089197458389e-05 2.388678504221293021e-07
3.200000000000000000e+01 4.651637976033185748e-05 2.358680926784979756e-07
3.300000000000000000e+01 4.728356399113392040e-05 2.328678720920745493e-07
3.400000000000000000e+01 4.805724170081085921e-05 2.298686031532285457e-07
3.500000000000000000e+01 4.883589726378809236e-05 2.268717134353860913e-07
3.600000000000000000e+01 4.961820008647265038e-05 2.238786828442008400e-07
3.700000000000000000e+01 5.040286583326694994e-05 2.208910043683833146e-07
3.800000000000000000e+01 5.118861016857342801e-05 2.179101709966439847e-07
3.900000000000000000e+01 5.197417993373901793e-05 2.149370736504064389e-07
4.000000000000000000e+01 5.275844667788886897e-05 2.119701949819467939e-07
4.100000000000000000e+01 5.354031312709262681e-05 2.090074155762541793e-07
4.200000000000000000e+01 5.431868200741994386e-05 2.060466160183178571e-07
4.300000000000000000e+01 5.509254045180785270e-05 2.030864297447766324e-07
4.400000000000000000e+01 5.586121322066283192e-05 2.001285015988676938e-07
4.500000000000000000e+01 5.662410948125880803e-05 1.971752292754779585e-07
4.600000000000000000e+01 5.738063840086961943e-05 1.942290104694941581e-07
4.700000000000000000e+01 5.813020914676915874e-05 1.912922428758032892e-07
4.800000000000000000e+01 5.887218800543445740e-05 1.883669088162733617e-07
4.900000000000000000e+01 5.960576974015512920e-05 1.854533291206971810e-07
5.000000000000000000e+01 6.033010623342398776e-05 1.825514092458488836e-07
5.100000000000000000e+01 6.104434936773383310e-05 1.796610546485025532e-07
5.200000000000000000e+01 6.174765102557743142e-05 1.767821707854323262e-07
5.300000000000000000e+01 6.243927693248784957e-05 1.739148851386480031e-07
5.400000000000000000e+01 6.311894818615920136e-05 1.710602132911021717e-07
5.500000000000000000e+01 6.378649972732581999e-05 1.682193928509832425e-07
5.600000000000000000e+01 6.444176649672213352e-05 1.653936614264796791e-07
5.700000000000000000e+01 6.508458343508248870e-05 1.625842566257797862e-07
5.800000000000000000e+01 6.571478548314124582e-05 1.597924160570720007e-07
5.900000000000000000e+01 6.633206399015322463e-05 1.570192895221452820e-07
6.000000000000000000e+01 6.693553593945494710e-05 1.542656755971909962e-07
6.100000000000000000e+01 6.752417472290335400e-05 1.515322850520010316e-07
6.200000000000000000e+01 6.809695373235539963e-05 1.488198286563673826e-07
6.300000000000000000e+01 6.865284635966801120e-05 1.461290171800820698e-07
6.400000000000000000e+01 6.919082599669817014e-05 1.434605613929369289e-07
6.500000000000000000e+01 6.971002321341431289e-05 1.408150816873573204e-07
6.600000000000000000e+01 7.021019729223083156e-05 1.381928369463020979e-07
6.700000000000000000e+01 7.069126469367360041e-05 1.355939956753634810e-07
6.800000000000000000e+01 7.115314187826856144e-05 1.330187263801337425e-07
6.900000000000000000e+01 7.159574530654158890e-05 1.304671975662049964e-07
7.000000000000000000e+01 7.201899143901858416e-05 1.279395777391694626e-07
7.100000000000000000e+01 7.242279673622543500e-05 1.254360354046194137e-07
7.200000000000000000e+01 7.280703654179692807e-05 1.229567867913149596e-07
7.300000000000000000e+01 7.317142173180328263e-05 1.205022390206879553e-07
7.400000000000000000e+01 7.351562206542364391e-05 1.180728469373380399e-07
7.500000000000000000e+01 7.383930730183711647e-05 1.156690653858649451e-07
7.600000000000000000e+01 7.414214720022283195e-05 1.132913492108684160e-07
7.700000000000000000e+01 7.442381151975990849e-05 1.109401532569481975e-07
7.800000000000000000e+01 7.468397001962746417e-05 1.086159323687039421e-07
7.900000000000000000e+01 7.492229245900461712e-05 1.063191413907353946e-07
8.000000000000000000e+01 7.513849856668255176e-05 1.040501812830185662e-07
8.100000000000000000e+01 7.533250794990078558e-05 1.018092374670347051e-07
8.200000000000000000e+01 7.550429018551088882e-05 9.959644147964125942e-08
8.300000000000000000e+01 7.565381485036435044e-05 9.741192485769580955e-08
8.400000000000000000e+01 7.578105152131280845e-05 9.525581913805581689e-08
8.500000000000000000e+01 7.588596977520781954e-05 9.312825585757880894e-08
8.600000000000000000e+01 7.596853918890091332e-05 9.102936655312231326e-08
8.700000000000000000e+01 7.602872933924366004e-05 8.895928276154381765e-08
8.800000000000000000e+01 7.606650980308765706e-05 8.691813601970082317e-08
8.900000000000000000e+01 7.608186890157377135e-05 8.490604286421174114e-08
9.000000000000000000e+01 7.607486993300032775e-05 8.292305983073837235e-08
9.100000000000000000e+01 7.604559493995490720e-05 8.096922845470340140e-08
9.200000000000000000e+01 7.599412596502519901e-05 7.904459027152949962e-08
9.300000000000000000e+01 7.592054505079878410e-05 7.714918681663940455e-08
9.400000000000000000e+01 7.582493423986332471e-05 7.528305962545578753e-08
9.500000000000000000e+01 7.570737557480644239e-05 7.344625023340126698e-08
9.600000000000000000e+01 7.556795109821577228e-05 7.163880017589860687e-08
9.700000000000000000e+01 7.540674285267894949e-05 6.986075098837045210e-08
9.800000000000000000e+01 7.522383288078359560e-05 6.811214420623951371e-08
9.900000000000000000e+01 7.501933204437739378e-05 6.639299557016506066e-08
1.000000000000000000e+02 7.479346648234811096e-05 6.470321764175283177e-08
1.010000000000000000e+02 7.454649115284368410e-05 6.304269718784513697e-08
1.020000000000000000e+02 7.427866101401188752e-05 6.141132097528429945e-08
1.030000000000000000e+02 7.399023102400057686e-05 5.980897577091262916e-08
1.040000000000000000e+02 7.368145614095762133e-05 5.823554834157247574e-08
1.050000000000000000e+02 7.335259132303086299e-05 5.669092545410613592e-08
1.060000000000000000e+02 7.300389152836814395e-05 5.517499387535594610e-08
1.070000000000000000e+02 7.263561171511731984e-05 5.368764037216422946e-08
1.080000000000000000e+02 7.224800684142623276e-05 5.222875171137330920e-08
1.090000000000000000e+02 7.184133186544272478e-05 5.079821465982548202e-08
1.100000000000000000e+02 7.141586476947679111e-05 4.939589680666685862e-08
1.110000000000000000e+02 7.097197563248693096e-05 4.802158903025858063e-08
1.120000000000000000e+02 7.051005755759375600e-05 4.667506303126551103e-08
1.130000000000000000e+02 7.003050364791791856e-05 4.535609051035259883e-08
1.140000000000000000e+02 6.953370700658004385e-05 4.406444316818470039e-08
1.150000000000000000e+02 6.902006073670077064e-05 4.279989270542673162e-08
1.160000000000000000e+02 6.848995794140069705e-05 4.156221082274360182e-08
1.170000000000000000e+02 6.794379172380050251e-05 4.035116922080019383e-08
1.180000000000000000e+02 6.738195518702079869e-05 3.916653960026140371e-08
1.190000000000000000e+02 6.680484143418221081e-05 3.800809366179212751e-08
1.200000000000000000e+02 6.621284356840535052e-05 3.687560310605729440e-08
1.210000000000000000e+02 6.560635469281089727e-05 3.576883963372177397e-08
1.220000000000000000e+02 6.498576791051944917e-05 3.468757494545047552e-08
1.230000000000000000e+02 6.435149412082363817e-05 3.363156665461408757e-08
1.240000000000000000e+02 6.370401540770417740e-05 3.260051602540644865e-08
1.250000000000000000e+02 6.304383165131366472e-05 3.159411023472718312e-08
1.260000000000000000e+02 6.237144273180483356e-05 3.061203645947594184e-08
1.270000000000000000e+02 6.168734852933030889e-05 2.965398187655233592e-08
1.280000000000000000e+02 6.099204892404279024e-05 2.871963366285600958e-08
1.290000000000000000e+02 6.028604379609494326e-05 2.780867899528659052e-08
1.300000000000000000e+02 5.956983302563941327e-05 2.692080505074370639e-08
1.310000000000000000e+02 5.884391649282890655e-05 2.605569900612699481e-08
1.320000000000000000e+02 5.810879407781606166e-05 2.521304803833607684e-08
1.330000000000000000e+02 5.736496566075355779e-05 2.439253932427058677e-08
1.340000000000000000e+02 5.661293112179408091e-05 2.359386004083016220e-08
1.350000000000000000e+02 5.585319034109028312e-05 2.281669736491443412e-08
1.360000000000000000e+02 5.508624319879483683e-05 2.206073847342303020e-08
1.370000000000000000e+02 5.431259696938991403e-05 2.132566538911174986e-08
1.380000000000000000e+02 5.353278850467569846e-05 2.061113951816106951e-08
1.390000000000000000e+02 5.274736205078184634e-05 1.991681711260764722e-08
1.400000000000000000e+02 5.195686185383804098e-05 1.924235442448812782e-08
1.410000000000000000e+02 5.116183215997394536e-05 1.858740770583916939e-08
1.420000000000000000e+02 5.036281721531924956e-05 1.795163320869741346e-08
1.430000000000000000e+02 4.956036126600361658e-05 1.733468718509951149e-08
1.440000000000000000e+02 4.875500855815672295e-05 1.673622588708211492e-08
1.450000000000000000e+02 4.794730333790823843e-05 1.615590556668187521e-08
1.460000000000000000e+02 4.713778985138783277e-05 1.559338247593543388e-08
1.470000000000000000e+02 4.632701234472519608e-05 1.504831286687945233e-08
1.480000000000000000e+02 4.551551506404998454e-05 1.452035299155057373e-08
1.490000000000000000e+02 4.470384225549188149e-05 1.400915910198545119e-08
1.500000000000000000e+02 4.389253816518054311e-05 1.351438745022073285e-08
1.510000000000000000e+02 4.308214703924567306e-05 1.303569428829307018e-08
1.520000000000000000e+02 4.227321312381692077e-05 1.257273586823910966e-08
1.530000000000000000e+02 4.146627496288699189e-05 1.212517224638374060e-08
1.540000000000000000e+02 4.066184829190070180e-05 1.169267869620480704e-08
1.550000000000000000e+02 3.986044314416588823e-05 1.127493429546837434e-08
1.560000000000000000e+02 3.906256955299038889e-05 1.087161812194052440e-08
1.570000000000000000e+02 3.826873755168204829e-05 1.048240925338732422e-08
1.580000000000000000e+02 3.747945717354869059e-05 1.010698676757486397e-08
1.590000000000000000e+02 3.669523845189817386e-05 9.745029742269202385e-09
1.600000000000000000e+02 3.591659142003832903e-05 9.396217255236426333e-09
1.610000000000000000e+02 3.514402611127698706e-05 9.060228384242604472e-09
1.620000000000000000e+02 3.437805255892201277e-05 8.736742207053812081e-09
1.630000000000000000e+02 3.361918079628120322e-05 8.425437801436129405e-09
1.640000000000000000e+02 3.286792085666245035e-05 8.125994245155628414e-09
1.650000000000000000e+02 3.212478277337354446e-05 7.838090615978384389e-09
1.660000000000000000e+02 3.139027657972236391e-05 7.561405991670474262e-09
1.670000000000000000e+02 3.066491230901670579e-05 7.295619449997970007e-09
1.680000000000000000e+02 2.994919999456444845e-05 7.040410068726949383e-09
1.690000000000000000e+02 2.924364966967341270e-05 6.795456925623488498e-09
1.700000000000000000e+02 2.854877136765143287e-05 6.560439098453658496e-09
1.710000000000000000e+02 2.786505360992313292e-05 6.335047631777260357e-09
1.720000000000000000e+02 2.719289887038017683e-05 6.119021437328967249e-09
1.730000000000000000e+02 2.653268811103102497e-05 5.912111393637175561e-09
1.740000000000000000e+02 2.588480229388411739e-05 5.714068379230288296e-09
1.750000000000000000e+02 2.524962238094790432e-05 5.524643272636696053e-09
1.760000000000000000e+02 2.462752933423083596e-05 5.343586952384802662e-09
1.770000000000000000e+02 2.401890411574136592e-05 5.170650297003000376e-09
1.780000000000000000e+02 2.342412768748793086e-05 5.005584185019688064e-09
1.790000000000000000e+02 2.284358101147898777e-05 4.848139494963265420e-09
1.800000000000000000e+02 2.227764504972298010e-05 4.698067105362128007e-09
1.810000000000000000e+02 2.172670076422835805e-05 4.555117894744671383e-09
1.820000000000000000e+02 2.119112911700356846e-05 4.419042741639296072e-09
1.830000000000000000e+02 2.067131107005707171e-05 4.289592524574398462e-09
1.840000000000000000e+02 2.016762758539730106e-05 4.166518122078374939e-09
1.850000000000000000e+02 1.968045962503270674e-05 4.049570412679625200e-09
1.860000000000000000e+02 1.921018815097173897e-05 3.938500274906543977e-09
1.870000000000000000e+02 1.875719412522285472e-05 3.833058587287530141e-09
1.880000000000000000e+02 1.832185850979449406e-05 3.732996228350980904e-09
1.890000000000000000e+02 1.790456226669510380e-05 3.638064076625293482e-09
